date, pm25, pm10, o3, no2, so2
2022/2/13, 20, 62, 4, 10, 1
2022/2/14, 56, 51, 4, 11, 1
2022/2/15, 49, 22, 4, 9, 1
2022/2/16, 76, 14, 4, 19, 1
2022/2/17, 61, 10, 4, 13, 1
2022/2/18, 36, 7, 4, 9, 1
2022/2/19, 31, 17, 5, 10, 1
2022/2/20, 52, 29, 5, 11, 1
2022/2/21, 46, 47, 4, 11, 1
2022/2/22, 35, 59, 5, 10, 1
2022/2/23, 41, 63, 5, 11, 1
2022/2/24, 60, 80, 4, 13, 1
2022/2/25, 91, 89, 4, 12, 1
2022/2/26, 132, 106, 4, 14, 1
2022/2/27, 158, 106, 4, 13, 1
2022/2/28, 166, 96, 4, 12, 1
2022/3/1, 155, 81, 4, 13, 1
2022/3/2, 130, 91, 4, 11, 1
2022/3/3, 125, 67, 5, 11, 1
2022/3/4, 75, 62, 4, 10, 1
2022/3/5, 63, 49, 4, 9, 1
2022/3/6, 35, 59, 4, 10, 1
2022/3/7, 64, 71, 5, 10, 1
2022/3/8, 84, 83, 5, 12, 1
2022/3/9, 102, 64, 4, 11, 1
2022/3/10, 64, 53, 4, 11, 1
2022/3/11, 55, 64, 4, 11, 1
2022/3/12, 77, 61, 4, 12, 1
2022/3/13, 70, 49, 4, 17, 18
2022/3/14, 44, 59, 11, 11, 13
2022/3/15, 58, 59, 6, 11, 9
2022/3/16, 63, 51, 6, 10, 9
2022/3/17, 41, 58, 6, 9, 9
2022/3/18, 55, 65, 6, 9, 10
2022/3/19, 75, 67, 6, 8, 10
2022/3/20, 66, 67, 7, 9, 10
2022/3/21, 65, 79, 9, 7, 15
2022/3/22, 90, 32, 8, 34, 11
2022/3/23, 20, 36, 6, 22, 10
2022/3/24, 16, 56, 8, 3, 11
2022/3/25, 36, 71, 10, 1, 12
2022/3/26, 66, 41, 7, 1, 11
2022/3/27, 30, 52, 7, , 11
2022/3/28, 40, 69, 7, 1, 10
2022/3/29, 63, 47, 6, 1, 10
2022/3/30, 37, 45, 7, 2, 11
2022/3/31, 31, 40, 13, 16, 15
2021/10/1, 114, 94, 1, , 1
2021/10/2, 114, 85, , , 1
2021/10/3, 103, 102, , , 1
2021/10/4, 110, 86, , , 1
2021/10/5, 100, 97, 1, , 1
2021/10/6, 103, 87, 1, , 1
2021/10/7, 111, 94, 1, , 1
2021/10/8, 121, 68, 1, , 1
2021/10/9, 76, 18, , , 1
2021/10/10, 18, 21, , , 1
2021/10/11, 21, 95, , , 1
2021/10/12, 48, 105, , , 
2021/10/13, 48, 33, , , 
2021/10/14, 22, 15, , , 
2021/10/15, 17, 47, , , 
2021/10/16, 39, 60, , , 1
2021/10/17, 38, 69, , , 1
2021/10/18, 57, 82, , , 1
2021/10/19, 50, 147, , , 1
2021/10/20, 82, 54, , , 1
2021/10/21, 50, 61, , , 1
2021/10/22, 47, 139, , , 1
2021/10/23, 81, 134, 1, , 1
2021/10/24, 106, 155, 1, , 2
2021/10/25, 130, 119, 1, , 1
2021/10/26, 137, 213, 1, , 1
2021/10/27, 160, 93, 1, , 1
2021/10/28, 93, 28, 1, , 1
2021/10/29, 40, 15, 1, , 1
2021/10/30, 19, 17, , , 1
2021/10/31, 21, 17, , , 1
2021/11/1, 23, 21, , , 1
2021/11/2, 26, 22, , , 2
2021/11/3, 19, , , , 
2021/11/9, 50, 138, 5, 7, 2
2021/11/10, 77, 103, 5, 5, 1
2021/11/11, 91, 69, 5, 4, 1
2021/11/12, 77, 85, 5, 5, 1
2021/11/13, 84, 80, 5, 4, 1
2021/11/14, 113, 70, 5, 4, 1
2021/11/15, 106, 68, 5, 6, 1
2021/11/16, 103, 33, 5, 4, 1
2021/11/17, 40, 84, 5, 5, 1
2021/11/18, 51, 84, 5, 5, 1
2021/11/19, 85, 50, 5, 5, 1
2021/11/20, 48, 69, 5, 4, 1
2021/11/21, 76, 32, 5, 3, 1
2021/11/22, 17, 63, 5, 4, 1
2021/11/23, 46, 53, 5, 3, 1
2021/11/24, 52, 63, 5, 4, 1
2021/11/25, 63, 80, 4, 7, 7
2021/11/26, 82, 85, 2, 6, 1
2021/11/27, 102, 91, 2, 6, 1
2021/11/28, 111, 102, 2, 5, 1
2021/11/29, 123, 77, 3, 4, 1
2021/11/30, 95, 93, 3, 6, 1
2021/12/1, 120, 94, 2, 6, 1
2021/12/2, 123, 99, 2, 7, 1
2021/12/3, 127, 100, 2, 7, 1
2021/12/4, 139, 106, 2, 8, 1
2021/12/5, 143, 103, 2, 7, 1
2021/12/6, 135, 101, 3, 8, 1
2021/12/7, 137, 86, 3, 6, 1
2021/12/8, 133, 103, 3, 6, 1
2021/12/9, 154, 108, 2, 8, 2
2021/12/10, 138, 103, 2, 8, 2
2021/12/11, 133, 81, 2, 5, 1
2021/12/12, 102, 61, 3, 5, 1
2021/12/13, 49, 96, 3, 6, 2
2021/12/14, 111, 100, 2, 9, 2
2021/12/15, 138, 87, 2, 6, 1
2021/12/16, 116, 95, 2, 1, 1
2021/12/17, 149, , , , 
2021/12/19, 98, 82, 3, 15, 2
2021/12/20, 118, 81, 2, 15, 2
2021/12/21, 87, 77, 2, 13, 2
2021/12/22, 101, 95, 2, 15, 2
2021/12/23, 120, 103, 2, 16, 2
2021/12/24, 148, 88, 2, 15, 2
2021/12/25, 133, 60, 2, 13, 2
2021/12/26, 71, 30, 2, 10, 2
2021/12/27, 20, 53, 2, 12, 2
2021/12/28, 38, 46, 2, 13, 2
2021/12/29, 42, 51, 2, 11, 2
2021/12/30, 48, 48, 2, 13, 2
2021/12/31, 46, 35, 2, 10, 2
2022/1/1, 44, 48, , 11, 2
2022/1/2, 45, 63, 2, 12, 2
2021/7/1, 72, 104, 1, , 1
2021/7/2, 83, 76, 1, , 1
2021/7/3, 82, 116, 1, , 1
2021/7/4, 127, 91, 1, , 1
2021/7/5, 101, 90, 1, , 1
2021/7/6, 81, 89, 1, , 1
2021/7/7, 100, 57, 1, , 1
2021/7/8, 43, 75, 1, , 1
2021/7/9, 66, 85, 1, , 1
2021/7/10, 68, 87, 1, 1, 1
2021/7/11, 75, 89, 1, 1, 1
2021/7/12, 108, 89, 1, , 1
2021/7/13, 96, 91, 1, 1, 1
2021/7/14, 84, 86, 1, 1, 1
2021/7/15, 80, 83, 1, 1, 1
2021/7/16, 76, 87, 1, 1, 1
2021/7/17, 94, 69, 1, , 1
2021/7/18, 79, 71, 1, 1, 1
2021/7/19, 71, 84, 2, 1, 5
2021/7/20, 85, 74, 1, 1, 1
2021/7/21, 67, 71, 1, , 1
2021/7/22, 71, 75, 1, , 1
2021/7/23, 52, 81, 1, 1, 1
2021/7/24, 80, 73, 1, , 1
2021/7/25, 89, 81, 1, 1, 1
2021/7/26, 78, 84, 1, 1, 1
2021/7/27, 76, 63, 1, 1, 1
2021/7/28, 52, 87, 1, 1, 1
2021/7/29, 81, 89, 2, 1, 1
2021/7/30, 90, 86, 1, 1, 1
2021/7/31, 100, 62, 1, , 1
2021/8/1, 46, 54, 2, 1, 3
2021/8/2, 43, 52, 1, 1, 1
2021/8/3, 36, 87, 1, 1, 1
2021/8/4, 91, 87, 2, 1, 1
2021/8/5, 100, 93, 2, 1, 1
2021/8/6, 105, 96, 2, 1, 1
2021/8/7, 93, 72, 1, , 1
2021/8/8, 61, , , , 
2021/8/11, 56, 82, 1, , 1
2021/8/12, 45, 88, 1, , 1
2021/8/13, 66, 82, 1, , 1
2021/8/14, 67, 69, , , 
2021/8/15, 35, 83, 1, 1, 
2021/8/16, 54, 82, 1, , 
2021/8/17, 48, 83, 1, 1, 
2021/8/18, 53, 93, 1, 1, 
2021/8/19, 67, , , , 
2021/9/14, 59, 93, 1, , 1
2021/9/15, 52, 108, 1, , 1
2021/9/16, 63, 108, 1, , 1
2021/9/17, 66, 101, 1, , 1
2021/9/18, 64, 120, 1, , 1
2021/9/19, 81, 111, 1, , 1
2021/9/20, 72, 113, 1, , 1
2021/9/21, 80, 115, 1, , 1
2021/9/22, 91, 104, 1, , 1
2021/9/23, 80, 77, 1, 1, 4
2021/9/24, 50, 54, 1, , 
2021/9/25, 40, 54, 1, , 
2021/9/26, 44, 69, 1, , 1
2021/9/27, 66, 106, 1, , 1
2021/9/28, 84, 90, 1, 1, 1
2021/9/29, 80, 101, 1, , 1
2021/9/30, 98, 96, 1, , 1
2021/4/1, 174, 117, 1, 9, 5
2021/4/2, 154, 101, 1, 5, 2
2021/4/3, 100, 65, 1, 3, 2
2021/4/4, 86, 69, 1, 2, 2
2021/4/5, 51, 87, 1, 6, 2
2021/4/6, 93, 89, 1, 6, 2
2021/4/7, 101, 91, 1, 3, 2
2021/4/8, 81, 60, 1, 5, 2
2021/4/9, 45, 33, 1, , 5
2021/4/10, 40, 43, 1, , 2
2021/4/11, 53, 94, 1, , 2
2021/4/12, 78, 199, 1, , 2
2021/4/13, 112, 128, 1, , 2
2021/4/14, 107, 178, 1, , 2
2021/4/15, 114, 138, 1, , 2
2021/4/16, 114, 56, 1, , 2
2021/4/17, 41, 61, 1, , 2
2021/4/18, 41, 133, 1, , 21
2021/4/19, 56, 124, 1, , 6
2021/4/20, 93, 140, 1, , 2
2021/4/21, 108, 132, 2, 1, 2
2021/4/22, 108, 135, 1, , 5
2021/4/23, 108, 108, 1, 1, 5
2021/4/24, 102, 121, 1, , 5
2021/4/25, 108, 51, 1, , 6
2021/4/26, 51, 49, , , 6
2021/4/27, 45, 55, , , 6
2021/4/28, 47, 79, 1, 1, 5
2021/4/29, 53, , , , 
2021/5/3, 73, 94, 2, 1, 2
2021/5/4, 76, 57, 1, , 1
2021/5/5, 41, 101, 1, , 1
2021/5/6, 68, 108, 1, 1, 1
2021/5/7, 93, 106, 2, 1, 2
2021/5/8, 86, 110, 1, 1, 2
2021/5/9, 113, 98, 2, 1, 2
2021/5/10, 98, 87, 2, 1, 2
2021/5/11, 86, 91, 1, 1, 2
2021/5/12, 110, 83, 1, , 1
2021/5/13, 71, 102, 1, , 1
2021/5/14, 84, 90, 1, , 2
2021/5/15, 86, 102, 1, 1, 1
2021/5/16, 99, 102, 1, 1, 5
2021/5/17, 101, 103, 1, , 1
2021/5/18, 100, 110, 1, , 1
2021/5/19, 101, 99, 1, , 1
2021/5/20, 90, 94, 1, , 1
2021/5/21, 91, 118, 1, 1, 1
2021/5/22, 111, 83, 1, 1, 1
2021/5/23, 87, 65, 1, , 1
2021/5/24, 51, 85, 1, , 1
2021/5/25, 74, 76, 1, , 1
2021/5/26, 73, 92, 1, 1, 1
2021/5/27, 76, 86, 1, 1, 1
2021/5/28, 66, 86, 1, , 1
2021/5/29, 80, 75, 1, , 1
2021/5/30, 78, 91, 1, , 1
2021/5/31, 80, 119, 1, 1, 3
2021/6/1, 98, 81, 1, , 2
2021/6/2, 67, 119, 1, 1, 2
2021/6/3, 109, 67, 1, , 2
2021/6/4, 54, 98, 1, , 2
2021/6/5, 99, 104, 1, , 2
2021/6/6, 104, 118, 1, , 2
2021/6/7, 131, 118, 1, , 2
2021/6/8, 140, 92, 1, , 2
2021/6/9, 102, 55, 1, , 2
2021/6/10, 49, 39, 1, , 2
2021/6/11, 32, 56, 1, , 2
2021/6/12, 52, 56, 1, , 2
2021/6/13, 43, 55, 1, , 2
2021/6/14, 53, 77, 1, , 2
2021/6/15, 63, 95, 1, , 2
2021/6/16, 90, 102, 1, , 2
2021/6/17, 97, 123, 1, 1, 2
2021/6/18, 95, 103, 2, 1, 2
2021/6/19, 106, 95, 1, 1, 2
2021/6/20, 103, 89, 2, 1, 1
2021/6/21, 106, 85, 1, 1, 2
2021/6/22, 52, 71, 1, 1, 2
2021/6/23, 54, 43, 1, 1, 1
2021/6/24, 30, 90, 1, , 2
2021/6/25, 70, 106, 1, , 2
2021/6/26, 67, 106, 2, 1, 2
2021/6/27, 74, 96, 1, , 2
2021/6/28, 98, 70, 1, , 2
2021/6/29, 79, 57, 1, , 11
2021/6/30, 55, 84, 1, , 1
2021/1/4, 250, 216, 1, , 1
2021/1/5, 257, 201, 1, , 1
2021/1/6, 195, 111, 1, , 1
2021/1/7, 141, 76, 1, , 1
2021/1/8, 64, 113, 1, , 1
2021/1/9, 108, 120, 1, , 1
2021/1/10, 115, 131, 1, , 1
2021/1/11, 118, 208, 1, , 1
2021/1/12, 160, 211, 1, , 2
2021/1/13, 197, 242, 1, , 1
2021/1/14, 239, 281, 1, , 2
2021/1/15, 279, 313, 1, , 2
2021/1/16, 287, 116, 1, , 1
2021/1/17, 158, 190, 1, , 1
2021/1/18, 166, 202, 1, , 1
2021/1/19, 191, 277, 1, , 1
2021/1/20, 233, 188, 1, , 1
2021/1/21, 202, 200, 1, , 1
2021/1/22, 205, 224, 1, , 1
2021/1/23, 209, 194, 1, , 1
2021/1/24, 210, 157, 1, , 1
2021/1/25, 174, 174, 1, , 
2021/1/26, 183, 212, 1, , 
2021/1/27, 187, 117, 1, , 
2021/1/28, 119, 172, 1, , 1
2021/1/29, 163, 166, , , 
2021/1/30, 184, 127, 1, , 1
2021/1/31, 183, 121, 1, , 
2021/2/1, 143, 125, 4, , 
2021/2/2, 134, 123, 3, , 
2021/2/3, 121, 133, 3, , 
2021/2/4, 139, 112, 4, , 
2021/2/5, 141, 105, 4, , 
2021/2/6, 147, 130, 4, , 
2021/2/7, 171, 65, 2, , 
2021/2/8, 103, 25, 2, , 
2021/2/9, 36, 59, 3, , 
2021/2/10, 66, 80, 3, , 
2021/2/11, 116, 67, 3, , 
2021/2/12, 92, 69, 4, , 
2021/2/13, 88, 76, 3, , 
2021/2/14, 103, 76, 4, , 
2021/2/15, 96, 67, 4, , 
2021/2/16, 79, 65, 3, , 
2021/2/17, 64, 72, 3, , 
2021/2/18, 95, 133, 4, , 
2021/2/19, 131, 117, 3, , 
2021/2/20, 154, 106, 5, , 
2021/2/21, 147, 89, 4, , 
2021/2/22, 105, 105, 3, , 
2021/2/23, 141, 148, 3, , 
2021/2/24, 153, 107, 2, , 
2021/2/25, 78, 129, 3, , 
2021/2/26, 93, 96, 3, , 
2021/2/27, 53, 78, 2, , 
2021/2/28, 66, 79, 3, , 
2021/3/1, 63, 100, 3, , 
2021/3/2, 64, 94, 3, , 
2021/3/3, 91, 68, 3, , 
2021/3/4, 72, 76, 3, , 
2021/3/5, 51, 87, 5, , 
2021/3/6, 65, 112, 4, , 
2021/3/7, 95, 85, 9, , 2
2021/3/8, 108, , 7, , 15
2021/3/15, 117, 136, 8, , 2
2021/3/16, 93, 101, 1, , 3
2021/3/17, 91, 95, 1, , 3
2021/3/18, 74, 85, 1, , 3
2021/3/19, 74, 112, 1, , 5
2021/3/20, 80, 68, 1, , 3
2021/3/21, 50, 134, 1, , 5
2021/3/22, 103, 172, 1, , 7
2021/3/23, 153, 147, 1, , 12
2021/3/24, 155, 77, 1, , 6
2021/3/25, 101, 82, 1, , 6
2021/3/26, 83, 90, 1, , 2
2021/3/27, 77, 87, 1, 8, 2
2021/3/28, 64, 101, 1, 13, 2
2021/3/29, 102, 121, 1, 12, 1
2021/3/30, 146, 141, 1, 11, 1
2021/3/31, 165, 135, 1, 14, 1
2020/10/1, 8, 4, , , 1
2020/10/2, 9, 4, , , 1
2020/10/3, 9, 4, , , 1
2020/10/4, 9, 4, , , 1
2020/10/5, 9, 5, , , 1
2020/10/6, 9, 4, , , 1
2020/10/7, 8, 4, , , 1
2020/10/8, 8, 4, , , 1
2020/10/9, 9, 4, , , 1
2020/10/10, 9, 4, , , 1
2020/10/11, 9, 4, , , 1
2020/10/12, 10, 5, , , 1
2020/10/13, 10, 4, , , 1
2020/10/14, 9, 5, , , 1
2020/10/15, 8, 4, , , 1
2020/10/16, 9, 4, , , 1
2020/10/17, 10, 4, , , 1
2020/10/18, 10, 4, 17, , 1
2020/10/19, 9, 4, 25, , 1
2020/10/20, 9, 5, 25, , 1
2020/10/21, 10, 45, 33, , 1
2020/10/22, 41, 86, 30, , 5
2020/10/23, 74, 113, 25, , 10
2020/10/24, 88, 102, 25, , 3
2020/10/25, 126, 52, 20, , 1
2020/10/26, 86, 70, 16, , 1
2020/10/27, 58, 78, 20, , 1
2020/10/28, 72, 50, 22, , 3
2020/10/29, 54, 89, 13, , 
2020/10/30, 61, 85, 17, , 1
2020/10/31, 62, 114, 16, , 3
2020/11/1, 86, 92, 16, , 
2020/11/2, 72, 91, 19, , 
2020/11/3, 87, 98, 21, , 
2020/11/4, 111, 127, 22, , 1
2020/11/5, 147, 113, 16, , 
2020/11/6, 156, 80, 15, , 
2020/11/7, 117, 175, 25, , 
2020/11/8, 133, 117, 9, , 8
2020/11/9, 128, 89, 2, , 2
2020/11/10, 100, 94, 2, , 2
2020/11/11, 74, 101, 1, , 1
2020/11/12, 148, , , , 
2020/11/18, 101, 156, 1, , 1
2020/11/19, 117, 210, 1, , 1
2020/11/20, 142, 168, 1, , 1
2020/11/21, 152, 163, 1, , 1
2020/11/22, 153, 123, 1, , 1
2020/11/23, 126, 115, 1, , 1
2020/11/24, 139, 133, 1, , 1
2020/11/25, 141, 119, 1, , 1
2020/11/26, 142, 106, 1, , 1
2020/11/27, 108, 86, 1, , 1
2020/11/28, 67, 104, 1, , 2
2020/11/29, 92, 156, 1, , 2
2020/11/30, 141, 136, 1, , 2
2020/12/1, 149, 130, 1, , 2
2020/12/2, 142, 119, 1, , 2
2020/12/3, 114, 97, 1, , 1
2020/12/4, 86, 118, 1, , 1
2020/12/5, 114, 132, 1, , 1
2020/12/6, 151, 259, 1, , 1
2020/12/7, 175, 206, 1, , 1
2020/12/8, 167, 195, 1, , 5
2020/12/9, 160, 223, 1, , 2
2020/12/10, 175, 232, 1, , 2
2020/12/11, 199, 209, 1, , 2
2020/12/12, 197, 211, 1, , 2
2020/12/13, 168, 102, 1, , 2
2020/12/14, 118, 91, 1, , 2
2020/12/15, 64, 133, 1, , 1
2020/12/16, 80, 85, 1, , 1
2020/12/17, 71, 143, 1, , 1
2020/12/18, 94, 131, 1, , 1
2020/12/19, 128, 184, 1, , 1
2020/12/20, 140, 232, 1, , 1
2020/12/21, 189, 205, 1, , 2
2020/12/22, 187, 147, 1, , 1
2020/12/23, 168, 174, 1, , 1
2020/12/24, 177, 203, 2, , 1
2020/12/25, 187, 132, 1, , 1
2020/12/26, 181, 146, 1, , 4
2020/12/27, 164, 132, 1, , 2
2020/12/28, 141, 122, 1, , 1
2020/12/29, 117, 108, 1, , 1
2020/12/30, 88, 179, 1, , 1
2020/12/31, 123, 225, 1, , 1
2021/1/1, 172, 243, 1, , 1
2021/1/2, 205, 217, 1, , 1
2021/1/3, 226, 250, 1, , 2
2020/8/23, 9, 5, , , 1
2020/8/24, 11, 5, , , 1
2020/8/25, 11, 5, , , 1
2020/8/26, 10, 5, , , 1
2020/8/27, 10, 4, , , 
2020/8/28, 11, 4, , , 
2020/8/29, 10, , , , 
2020/9/4, 9, 4, , , 1
2020/9/5, 9, 4, , , 
2020/9/6, 9, 3, , , 1
2020/9/7, 9, 4, , , 
2020/9/8, 9, 3, , , 1
2020/9/9, 10, 3, , , 
2020/9/10, 8, , , , 
2020/9/17, 9, 4, , , 1
2020/9/18, 8, 4, , , 1
2020/9/19, 8, 4, , , 1
2020/9/20, 8, 4, , , 1
2020/9/21, 9, 5, , , 1
2020/9/22, 8, 5, , , 1
2020/9/23, 8, 4, , , 1
2020/9/24, 8, 4, , , 1
2020/9/25, 8, 4, , , 1
2020/9/26, 8, 5, , , 1
2020/9/27, 8, 4, , , 1
2020/9/28, 8, 4, , , 1
2020/9/29, 8, 4, , , 1
2020/9/30, 8, 4, , , 1
2023/7/22, , 46, 5, , 2
2023/8/27, , 32, 2, , 1
2023/9/18, , 40, 8, , 1
2023/6/14, , 45, 28, 7, 4
2023/2/9, , 35, 4, 17, 5
2022/11/28, , 91, 13, 18, 6
2022/12/5, , 80, 14, 22, 6
2022/12/12, , 131, 14, 21, 6
2022/12/19, , 61, 15, 23, 6
2022/12/24, , 65, 15, 24, 6
2022/9/19, , 3, 19, 18, 6
2022/5/29, , 53, 5, 1, 1
2021/11/8, , 102, 1, , 3
2021/12/18, , 84, 2, 14, 2
2021/8/10, , 93, 1, , 1
2021/9/13, , 102, 1, , 1
2021/5/2, , 90, 1, , 2
2021/3/14, , 162, 12, , 2
2020/11/17, , 192, 1, , 1
2020/8/22, , 5, , , 1
2020/9/3, , 4, , , 
2020/9/16, , 4, , , 1
2022/11/4, , , 15, 21, 6
2022/11/9, , , 16, 20, 6
2022/11/10, , , 14, 19, 6
2022/11/12, , , 14, 19, 6
2022/11/13, , , 15, 18, 6
2022/11/15, , , 14, 20, 6
2022/11/16, , , 14, 18, 6
2022/11/17, , , 14, 17, 6
2022/11/18, , , 15, 18, 6
2022/11/19, , , 14, 17, 6
2022/11/20, , , 14, 18, 6
2022/11/21, , , 15, 19, 6
2022/11/22, , , 15, 18, 6
2022/11/23, , , 14, 18, 6
2022/11/24, , , 14, 17, 6
2022/11/25, , , 14, 18, 6
2022/11/26, , , 13, 19, 6
2022/11/27, , , 13, 18, 6
2021/3/9, , , 11, , 25
2021/3/10, , , 14, , 2
2021/3/11, , , 18, , 2
2021/3/12, , , 18, , 2
2021/3/13, , , 18, , 2