date, pm25, pm10
2023-11-01,5,6
2023-11-02,7, 
2023-11-15,7,3
2023-11-16,4, 
2023-11-20,6,5
2023-11-21,5,7
2023-11-22,7,11
2023-11-23,14,6
2023-11-24,6, 
2023-10-27,3,2
2023-10-28,3,6
2023-10-29,8, 
2023-07-12,2,3
2023-07-13,2,2
2023-07-14,2,4
2023-07-15,6,12
2023-07-16,16, 
2023-07-19,3,4
2023-07-20,2,4
2023-07-21,3,2
2023-07-22,1, 
2023-07-24,1,1
2023-07-25,2,1
2023-07-26,1,1
2023-07-27,1,3
2023-07-28,4,6
2023-07-29,8,1
2023-07-30,1,1
2023-07-31,1,2
2023-08-01,2,3
2023-08-02,2,5
2023-08-03,4, 
2023-08-05,1,3
2023-08-06,1,2
2023-08-07,1,2
2023-08-08,1,2
2023-08-09,1, 
2023-08-17,2,2
2023-08-18,2,3
2023-08-19,3,2
2023-08-20,2,2
2023-08-21,1,1
2023-08-22,1,1
2023-08-23,1,2
2023-08-24,1,1
2023-08-25,1,2
2023-08-26,2,2
2023-08-27,2,2
2023-08-28,2,2
2023-08-29,2,2
2023-08-30,2,3
2023-08-31,4,4
2023-09-01,5,5
2023-09-02,7,2
2023-09-03,3,1
2023-09-04,1,2
2023-09-05,2,4
2023-09-06,5,5
2023-09-07,7,4
2023-09-08,4,2
2023-09-09,2,2
2023-09-10,3,2
2023-09-11,3,2
2023-09-12,2,2
2023-09-13,1,2
2023-09-14,1,3
2023-09-15,2, 
2023-09-18,1,1
2023-09-19,1,1
2023-09-20,1, 
2023-04-03,30,28
2023-04-04,38,31
2023-04-05,43,28
2023-04-06,36,41
2023-04-07,41,49
2023-04-08,61,46
2023-04-09,65,47
2023-04-10,73,27
2023-04-11,38,43
2023-04-12,55,32
2023-04-13,42,41
2023-04-14,49,46
2023-04-15,54,51
2023-04-16,75,48
2023-04-17,74,36
2023-04-18,53,44
2023-04-19,63,45
2023-04-20,64,50
2023-04-21,76,43
2023-04-22,64,34
2023-04-23,50,22
2023-04-24,31,33
2023-04-25,28,32
2023-04-26,38,23
2023-04-27,29,19
2023-04-28,26,19
2023-04-29,19,37
2023-04-30,28,54
2023-05-01,42,33
2023-05-02,35,17
2023-05-03,22,18
2023-05-04,23,23
2023-05-05,29,28
2023-05-06,35,30
2023-05-07,40,19
2023-05-08,21,23
2023-05-09,28,13
2023-05-10,17,15
2023-05-11,16,21
2023-05-12,15,19
2023-05-13,19,22
2023-05-14,27,34
2023-05-15,51,21
2023-05-16,28,31
2023-05-17,33,36
2023-05-18,39,35
2023-05-19,43,32
2023-05-20,43,30
2023-05-21,41,29
2023-05-22,38, 
2023-05-25,17,15
2023-05-26,17,12
2023-05-27,12,11
2023-05-28,9,22
2023-05-29,19,18
2023-05-30,19,15
2023-05-31,16,13
2023-06-01,14,17
2023-06-02,19,20
2023-06-03,20,15
2023-06-04,17,14
2023-06-05,15,18
2023-06-06,15,27
2023-06-07,32,14
2023-06-08,17,28
2023-06-09,32,25
2023-06-10,29,6
2023-06-11,7,6
2023-06-12,6,6
2023-06-13,8,7
2023-06-14,7,5
2023-06-15,5,5
2023-06-16,3,4
2023-06-17,3,4
2023-06-18,2,3
2023-06-19,1,3
2023-06-20,2,3
2023-06-21,2,4
2023-06-22,3,4
2023-06-23,4,3
2023-06-24,2,4
2023-06-25,3,3
2023-06-26,2,3
2023-06-27,2,3
2023-06-28,2,3
2023-06-29,2, 
2023-01-02,87,39
2023-01-03,61,46
2023-01-04,67,48
2023-01-05,69,45
2023-01-06,61,52
2023-01-07,74,54
2023-01-08,86,55
2023-01-09,99,29
2023-01-10,47,19
2023-01-11,26,21
2023-01-12,30,19
2023-01-13,28,35
2023-01-14,50,38
2023-01-15,47,31
2023-01-16,34,45
2023-01-17,56, 
2023-01-19,92,61
2023-01-20,109,66
2023-01-21,121, 
2023-02-10,24,15
2023-02-11,17,16
2023-02-12,15,21
2023-02-13,25,39
2023-02-14,46,42
2023-02-15,51,52
2023-02-16,79,52
2023-02-17,86,35
2023-02-18,49,52
2023-02-19,79,40
2023-02-20,58,49
2023-02-21,72,40
2023-02-22,53,30
2023-02-23,35,33
2023-02-24,36,24
2023-02-25,25,44
2023-02-26,50,45
2023-02-27,58,43
2023-02-28,64,34
2023-03-01,47,66
2023-03-02,112,52
2023-03-03,78,60
2023-03-04,98,63
2023-03-05,115,50
2023-03-06,79,33
2023-03-07,40,34
2023-03-08,39,52
2023-03-09,77,47
2023-03-10,70,37
2023-03-11,50,45
2023-03-12,56,64
2023-03-13,59,81
2023-03-14,97,55
2023-03-15,67,27
2023-03-16,33,23
2023-03-17,32,26
2023-03-18,37,23
2023-03-19,33,18
2023-03-20,27,16
2023-03-21,24,37
2023-03-22,55,35
2023-03-23,52,37
2023-03-24,52,42
2023-03-25,59,35
2023-03-26,43,35
2023-03-27,39,41
2023-03-28,47,40
2023-03-29,53,31
2023-03-30,40,33
2023-03-31,36, 
2022-10-01,10, 
2022-10-05,19,28
2022-10-06,28,23
2022-10-07,26,26
2022-10-08,32,30
2022-10-09,37,19
2022-10-10,14,35
2022-10-11,24,37
2022-10-12,26,45
2022-10-13,43,49
2022-10-14,55,42
2022-10-15,41,45
2022-10-16,50,43
2022-10-17,49,53
2022-10-18,60,44
2022-10-19,61,14
2022-10-20,22,18
2022-10-21,24,35
2022-10-22,45,50
2022-10-23,71,52
2022-10-24,78,40
2022-10-25,55,36
2022-10-26,50,21
2022-10-27,22,32
2022-10-28,33,57
2022-10-29,77,54
2022-10-30,85,26
2022-10-31,24,31
2022-11-01,28,42
2022-11-02,47,46
2022-11-03,55,53
2022-11-04,77,38
2022-11-05,47,39
2022-11-06,53,39
2022-11-07,56,42
2022-11-08,62,41
2022-11-09,61,22
2022-11-10,28,27
2022-11-11,32,23
2022-11-12,28,25
2022-11-13,28,33
2022-11-14,43,24
2022-11-15,30, 
2022-11-24,16,23
2022-11-25,23,23
2022-11-26,28,18
2022-11-27,21,12
2022-11-28,11,12
2022-11-29,10, 
2022-12-01,12,21
2022-12-02,19,40
2022-12-03,43,42
2022-12-04,46,23
2022-12-05,18,39
2022-12-06,49,48
2022-12-07,61,60
2022-12-08,93,66
2022-12-09,115,65
2022-12-10,114,52
2022-12-11,76,50
2022-12-12,62,55
2022-12-13,74,55
2022-12-14,65,59
2022-12-15,66,61
2022-12-16,76,57
2022-12-17,65,48
2022-12-18,45,51
2022-12-19,51,52
2022-12-20,48,52
2022-12-21,66,54
2022-12-22,69,48
2022-12-23,45,48
2022-12-24,44,41
2022-12-25,43,39
2022-12-26,41,35
2022-12-27,40,63
2022-12-28,93,47
2022-12-29,61,44
2022-12-30,59,65
2022-12-31,104,63
2023-01-01,110,51
2022-07-01,36,28
2022-07-02,30,18
2022-07-03,18,16
2022-07-04,14,11
2022-07-05,9,15
2022-07-06,16,11
2022-07-07,7,12
2022-07-08,9,11
2022-07-09,9,24
2022-07-10,24,14
2022-07-11,9,10
2022-07-12,6,9
2022-07-13,6,10
2022-07-14,7,6
2022-07-15,4,8
2022-07-16,6,11
2022-07-17,10, 
2022-07-20,11,11
2022-07-21,9,9
2022-07-22,7,12
2022-07-23,11,10
2022-07-24,8,7
2022-07-25,7,8
2022-07-26,7,7
2022-07-27,9,7
2022-07-28,9,8
2022-07-29,10,11
2022-07-30,15,10
2022-07-31,10,11
2022-08-01,12,11
2022-08-02,12,10
2022-08-03,10,10
2022-08-04,11,17
2022-08-05,18,8
2022-08-06,6,11
2022-08-07,9,21
2022-08-08,18,19
2022-08-09,18,26
2022-08-10,27,10
2022-08-11,6,12
2022-08-12,11,20
2022-08-13,21,11
2022-08-14,9,11
2022-08-15,8,8
2022-08-16,7,11
2022-08-17,10,14
2022-08-18,12,16
2022-08-19,16,12
2022-08-20,9,8
2022-08-21,4,9
2022-08-22,7,15
2022-08-23,14,20
2022-08-24,21,18
2022-08-25,21,10
2022-08-26,8,8
2022-08-27,6,8
2022-08-28,7,6
2022-08-29,6,6
2022-08-30,5,8
2022-08-31,7,26
2022-09-01,28,29
2022-09-02,34,27
2022-09-03,39,25
2022-09-04,32, 
2022-09-08,8,16
2022-09-09,13,14
2022-09-10,12,12
2022-09-11,13,21
2022-09-12,22,24
2022-09-13,31,28
2022-09-14,37,23
2022-09-15,31,15
2022-09-16,16,13
2022-09-17,11,16
2022-09-18,20,12
2022-09-19,13,20
2022-09-20,24,34
2022-09-21,41,13
2022-09-22,11,37
2022-09-23,41,34
2022-09-24,42,24
2022-09-25,29,52
2022-09-26,76,55
2022-09-27,75, 
2022-09-29,10,13
2022-09-30,7,20
2022-04-07,53,51
2022-04-08,70,39
2022-04-09,48,26
2022-04-10,32,29
2022-04-11,37,21
2022-04-12,28,30
2022-04-13,39,31
2022-04-14,45,34
2022-04-15,50,27
2022-04-16,32,30
2022-04-17,33,22
2022-04-18,21,29
2022-04-19,27,48
2022-04-20,44,30
2022-04-21,43, 
2022-04-28,16,16
2022-04-29,20,11
2022-04-30,16,14
2022-05-01,8,21
2022-05-02,24,33
2022-05-03,37,37
2022-05-04,45,47
2022-05-05,66,24
2022-05-06,27,13
2022-05-07,16,9
2022-05-08,10,17
2022-05-09,21,17
2022-05-10,19,17
2022-05-11,19,17
2022-05-12,17,22
2022-05-13,24,23
2022-05-14,18,28
2022-05-15,25,15
2022-05-16,10,20
2022-05-17,17,21
2022-05-18,21,23
2022-05-19,26,14
2022-05-20,16,18
2022-05-21,23,14
2022-05-22,18,9
2022-05-23,8,14
2022-05-24,14,33
2022-05-25,41,21
2022-05-26,22,21
2022-05-27,22,17
2022-05-28,18,17
2022-05-29,18,18
2022-05-30,18,21
2022-05-31,20,16
2022-06-01,17,20
2022-06-02,21,20
2022-06-03,17,20
2022-06-04,19,15
2022-06-05,13,21
2022-06-06,22,20
2022-06-07,22,17
2022-06-08,16,16
2022-06-09,15,20
2022-06-10,18,20
2022-06-11,21,21
2022-06-12,24,19
2022-06-13,18,28
2022-06-14,21,17
2022-06-15,20,14
2022-06-16,11,14
2022-06-17,12,19
2022-06-18,19,17
2022-06-19,18,15
2022-06-20,15,16
2022-06-21,17,13
2022-06-22,15,14
2022-06-23,16,8
2022-06-24,9,7
2022-06-25,7,9
2022-06-26,10,10
2022-06-27,11,15
2022-06-28,14,14
2022-06-29,15,17
2022-06-30,13,27
2022-01-03,105,63
2022-01-04,104,43
2022-01-05,68,33
2022-01-06,50,46
2022-01-07,66,52
2022-01-08,79,53
2022-01-09,84,52
2022-01-10,90,29
2022-01-11,34,43
2022-01-12,43,41
2022-01-13,56, 
2022-01-15,114,48
2022-01-16,77,19
2022-01-17,21,29
2022-01-18,36,39
2022-01-19,43,51
2022-01-20,66,53
2022-01-21,85,28
2022-01-22,39,29
2022-01-23,42,25
2022-01-24,32, 
2022-01-27,38,26
2022-01-28,39,42
2022-01-29,68,36
2022-01-30,44,18
2022-01-31,24,21
2022-02-01,29,28
2022-02-02,38,18
2022-02-03,23,26
2022-02-04,37,29
2022-02-05,44,42
2022-02-06,76,46
2022-02-07,79,16
2022-02-08,24,17
2022-02-09,23,29
2022-02-10,40,35
2022-02-11,55,33
2022-02-12,47,18
2022-02-13,23,26
2022-02-14,31,37
2022-02-15,47,26
2022-02-16,40,33
2022-02-17,39,19
2022-02-18,27,10
2022-02-19,8,5
2022-02-20,6,13
2022-02-21,15,16
2022-02-22,18,22
2022-02-23,26,25
2022-02-24,31,52
2022-02-25,67,48
2022-02-26,69,62
2022-02-27,116,53
2022-02-28,94,34
2022-03-01,53,53
2022-03-02,94,43
2022-03-03,80,30
2022-03-04,51,26
2022-03-05,37,23
2022-03-06,34,26
2022-03-07,33, 
2022-03-12,33,27
2022-03-13,35, 
2021-12-28,65,48
2021-12-29,62,33
2021-12-30,47,50
2021-12-31,80,62
2022-01-01,109,46
2022-01-02,70,62
2023-10-31, ,3
2023-11-14, ,5
2023-11-19, ,5
2023-10-26, ,2
2023-07-11, ,3
2023-07-18, ,3
2023-07-23, ,1
2023-08-04, ,3
2023-08-16, ,2
2023-09-17, ,1
2023-04-02, ,24
2023-05-24, ,15
2023-01-18, ,59
2023-02-09, ,19
2022-10-04, ,18
2022-11-23, ,22
2022-11-30, ,18
2022-07-19, ,12
2022-09-07, ,14
2022-09-28, ,16
2022-04-06, ,42
2022-04-27, ,14
2022-01-14, ,61
2022-01-26, ,25
2022-03-11, ,26
2021-12-27, ,52
